Emotion,Text
anger, "I can’t stand it anymore."
anger, "Why does everyone treat me like this?"
anger, "I’m frustrated all the time."
anger, "Nothing ever changes."
anger, "I hate feeling like this."
anger, "I just want things to stop."
anger, "Why does it always have to be me?"
anger, "This situation is making me crazy."
anger, "I can’t believe this happened again."
anger, "I feel so upset."
anger, "I’m done with this."
anger, "No one cares about how I feel."
anger, "I’m so angry, I can’t think straight."
anger, "Why does no one understand?"
anger, "I don’t know how much more I can take."
anger, "I’m sick of it."
anger, "I don’t know what to do anymore."
anger, "I'm done."
anger, "I can't do this."
anger, "I'm so mad."
anger, "This isn't fair."
anger, "I'm fed up."
anger, "I feel ignored."
anger, "I'm tired of this."
anger, "I can't stand it."
anger, "I'm really upset."
anger, "This is too much."
anger, "I don’t trust anyone."
anger, "I can't take it."
anger, "I'm so frustrated."
anger, "Why me?"
anger, "It’s not right."
anger, "I hate this."
anger, "I'm angry."
anger, "It’s unbearable."
anger, "I’m over it."
anger, "I can’t breathe."
anger, "It’s exhausting."
anger, "I’m done trying."
anger, "I’m lost."
anger, "I’m not okay."
anger, "I give up."
anger, I can’t calm down!
anger, I’m completely angry.
anger, I can’t stand this situation anymore!
anger, this thing drives me crazy!
anger,I’m so irritated that I can’t think about it.
anger, I feel boiling with rage!
anger, I’m really upset!
anger, it’s unbearable what he did to me!
anger, made me lose patience!
anger, I can’t bear him for another minute for what he did to me!
anger, it made me burst with rage!
anger, you can not imagine how furious I am for what he did to me!
anger, it made me even more angry!
anger,This situation has brought me to the limit of tolerance!
anger, his lack of respect made me crazy!
anger,I’m really angry for what he did to me and he knows it well!
anger, made me completely lose control!
anger,Can’t even explain how angry I am!
anger, this thing is literally blowing me up!
anger,I’m so angry I want to scream!
anger, it’s impossible that I can calm down now.
anger, his indifference makes me even more furious!
anger,This behavior is intolerable and makes me furious!
anger,I am full of anger and frustration!
anger, my patience is over!
anger,I feel completely hurt and angry!
anger,I’m furious and can’t pretend nothing!
anger, every time I think about it I get more angry!
anger, it’s like you’re trying to make me lose my temper!
anger, my anger is almost out of control!
anger, I can’t stand another provocation like this!
